cpus=12
 stress-ng-matri-110497 [004] 70738.615002: bprint:               sugov_update_single_freq: Balv: CPU:CPU4 process=stress-ng-matri pid 110464, Temp:15, dampen:1024 
 stress-ng-matri-110497 [004] 70738.615004: bprint:               sugov_update_single_freq: Balv: CPU:CPU4 process=stress-ng-matri pid 110497, Temp:15, dampen:1024 
 stress-ng-matri-110497 [004] 70738.615004: bprint:               sugov_update_single_freq: Balv: CPU:CPU4 process=stress-ng-matri pid 110498, Temp:15, dampen:1024 
 stress-ng-matri-110497 [004] 70738.615115: bprint:               sugov_update_single_freq: Balv: CPU:CPU4 process=stress-ng-matri pid 110464, Temp:15, dampen:1024 
 stress-ng-matri-110497 [004] 70738.615116: bprint:               sugov_update_single_freq: Balv: CPU:CPU4 process=stress-ng-matri pid 110476, Temp:15, dampen:1024 
 stress-ng-matri-110497 [004] 70738.615118: bprint:               sugov_update_single_freq: Balv: CPU:CPU4 process=stress-ng-matri pid 110497, Temp:15, dampen:1024 
 stress-ng-matri-110497 [004] 70738.615119: bprint:               sugov_update_single_freq: Balv: CPU:CPU4 process=stress-ng-matri pid 110498, Temp:15, dampen:1024 
 stress-ng-matri-110464 [004] 70738.618891: bprint:               sugov_update_single_freq: Balv: CPU:CPU4 process=stress-ng-matri pid 110464, Temp:16, dampen:1024 
 stress-ng-matri-110464 [004] 70738.618892: bprint:               sugov_update_single_freq: Balv: CPU:CPU4 process=stress-ng-matri pid 110476, Temp:16, dampen:1024 
 stress-ng-matri-110464 [004] 70738.618892: bprint:               sugov_update_single_freq: Balv: CPU:CPU4 process=stress-ng-matri pid 110497, Temp:16, dampen:1024 
 stress-ng-matri-110464 [004] 70738.618893: bprint:               sugov_update_single_freq: Balv: CPU:CPU4 process=stress-ng-matri pid 110498, Temp:16, dampen:1024 
 stress-ng-matri-110498 [004] 70738.622891: bprint:               sugov_update_single_freq: Balv: CPU:CPU4 process=stress-ng-matri pid 110464, Temp:15, dampen:1024 
 stress-ng-matri-110498 [004] 70738.622892: bprint:               sugov_update_single_freq: Balv: CPU:CPU4 process=stress-ng-matri pid 110476, Temp:15, dampen:1024 
