cpus=12
           <...>-110479 [001] 70738.606894: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110479, Temp:14, dampen:1024 
           <...>-110479 [001] 70738.606895: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110490, Temp:14, dampen:1024 
 stress-ng-matri-110469 [001] 70738.610893: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:14, dampen:1024 
 stress-ng-matri-110469 [001] 70738.610894: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110479, Temp:14, dampen:1024 
 stress-ng-matri-110469 [001] 70738.610894: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110490, Temp:14, dampen:1024 
 stress-ng-matri-110490 [001] 70738.614899: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:14, dampen:1024 
 stress-ng-matri-110490 [001] 70738.614900: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110479, Temp:14, dampen:1024 
 stress-ng-matri-110490 [001] 70738.614900: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110490, Temp:14, dampen:1024 
           <...>-110479 [001] 70738.618891: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:14, dampen:1024 
           <...>-110479 [001] 70738.618892: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110479, Temp:14, dampen:1024 
           <...>-110479 [001] 70738.618892: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110490, Temp:14, dampen:1024 
 stress-ng-matri-110469 [001] 70738.622892: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:15, dampen:1024 
 stress-ng-matri-110469 [001] 70738.626884: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:12, dampen:1024 
 stress-ng-matri-110469 [001] 70738.630888: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:14, dampen:1024 
 stress-ng-matri-110469 [001] 70738.634933: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:14, dampen:1024 
 stress-ng-matri-110469 [001] 70738.638888: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:12, dampen:1024 
 stress-ng-matri-110469 [001] 70738.638942: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:12, dampen:1024 
 stress-ng-matri-110469 [001] 70738.642895: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:14, dampen:1024 
 stress-ng-matri-110469 [001] 70738.646899: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:15, dampen:1024 
 stress-ng-matri-110469 [001] 70738.650904: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:14, dampen:1024 
 stress-ng-matri-110469 [001] 70738.654889: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:12, dampen:1024 
 stress-ng-matri-110469 [001] 70738.658890: bprint:               sugov_update_single_freq: Balv: CPU:CPU1 process=stress-ng-matri pid 110469, Temp:15, dampen:1024 
